query,top_score,avg_score,centroid_distance,num_results,type
I need the best phone immediately,0.48490128,0.41819066,0.91957486,980,aggressive_queries
Xiaomi phone with good price under 15000,0.690499,0.4814522,0.7452957,980,product_search
Realme,0.6366476,0.36946937,1.110698,980,long_queries
I need a good phone now,0.46425593,0.39897737,0.97976434,980,aggressive_queries
Vivo,0.53817797,0.36805353,1.0960454,980,short_queries
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
Show me a good phone now,0.48718926,0.4033999,0.96672434,980,aggressive_queries
I'm a professional looking for a phone that can manage my workflow,0.42229134,0.38155732,1.0364937,980,storytelling_queries
Give me a good phone now,0.48121256,0.40320927,0.9664959,980,aggressive_queries
Samsung phone with good storage under 30000,0.5823659,0.43239704,0.8840195,980,product_search
Tecno phone with good storage under 40000,0.5672341,0.4295228,0.8867872,980,product_search
phone that can cook food,0.40421355,0.36220175,1.1011564,980,kidding_queries
phone tricks,0.43933317,0.37353218,1.0639371,980,non_product_search
Give me the best phone right away,0.4796479,0.4126198,0.9375482,980,aggressive_queries
how to improve my phone,0.45705324,0.40245292,0.97036386,980,non_product_search
Oppo,0.60704184,0.36270073,1.1284716,980,short_queries
phone that can cook food,0.40421355,0.36220175,1.1011564,980,kidding_queries
I need a cheap phone now,0.49684912,0.42941564,0.8843898,980,aggressive_queries
I'm a student looking for a phone that can support my workflow,0.42485875,0.38380903,1.0290834,980,storytelling_queries
I'm a gamer looking for a phone that can handle my hobbies,0.45825556,0.4062009,0.95697063,980,storytelling_queries
Show me a cheap phone now,0.51754725,0.43655065,0.8634114,980,aggressive_queries
I'm a professional looking for a phone that can support my hobbies,0.44680414,0.39533424,0.9920151,980,storytelling_queries
storage,0.3994288,0.36995098,1.0740827,980,long_queries
Xiaomi,0.6009074,0.40738806,0.9711267,980,long_queries
Vivo,0.53817797,0.36805353,1.0960454,980,short_queries
phone tricks,0.43933317,0.37353218,1.0639371,980,non_product_search
Nokia phone with good performance under 15000,0.61591506,0.44369477,0.84600866,980,product_search
battery,0.43811852,0.38994712,1.0077554,980,short_queries
Oppo,0.60704184,0.36270073,1.1284716,980,long_queries
Show me the best phone immediately,0.47869954,0.40780592,0.95275635,980,aggressive_queries
display,0.3807574,0.3565223,1.1203425,980,short_queries
Samsung,0.53815854,0.40926713,0.95639914,980,short_queries
OnePlus,0.5835067,0.37617964,1.0639964,980,long_queries
Realme phone with good 5G under 30000,0.65793157,0.44943157,0.83945805,980,product_search
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
Xiaomi,0.6009074,0.40738806,0.9711267,980,long_queries
iPhone,0.5019899,0.39925736,0.98135614,980,long_queries
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
Show me the best phone immediately,0.47869954,0.40780592,0.95275635,980,aggressive_queries
Give me a good phone right away,0.46401048,0.39558032,0.99065214,980,aggressive_queries
Oppo phone with good 5G under 20000,0.69314575,0.44482672,0.85651505,980,product_search
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
Vivo,0.53817797,0.36805353,1.0960454,980,short_queries
Give me a cheap phone now,0.50365335,0.43159494,0.87779987,980,aggressive_queries
phone that can cook food,0.40421355,0.36220175,1.1011564,980,kidding_queries
I'm a professional looking for a phone that can manage my hobbies,0.43618554,0.38720635,1.0179894,980,storytelling_queries
OnePlus phone with good durability under 20000,0.60804814,0.42736533,0.89673275,980,product_search
storage,0.3994288,0.36995098,1.0740827,980,short_queries
Xiaomi,0.6009074,0.40738806,0.9711267,980,short_queries
Samsung,0.53815854,0.40926713,0.95639914,980,short_queries
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
phone tricks,0.43933317,0.37353218,1.0639371,980,non_product_search
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
gaming,0.3973958,0.3501127,1.1437359,980,long_queries
Xiaomi,0.6009074,0.40738806,0.9711267,980,long_queries
storage,0.3994288,0.36995098,1.0740827,980,short_queries
phone that can read minds,0.4421646,0.38643423,1.0203637,980,kidding_queries
Vivo,0.53817797,0.36805353,1.0960454,980,short_queries
price,0.49581966,0.43206125,0.8751933,980,long_queries
durability,0.36908266,0.3470766,1.1536523,980,short_queries
OnePlus,0.5835067,0.37617964,1.0639964,980,long_queries
Nokia phone with good gaming under 25000,0.60275924,0.44108856,0.8514243,980,product_search
Xiaomi phone with good storage under 30000,0.58307916,0.44174805,0.85610765,980,product_search
best games for Tecno,0.5234848,0.35854128,1.1186507,980,non_product_search
Nokia,0.5757035,0.4097775,0.9486352,980,long_queries
iPhone phone with good battery under 25000,0.51178145,0.4254047,0.9000326,980,product_search
storage,0.3994288,0.36995098,1.0740827,980,long_queries
gaming,0.3973958,0.3501127,1.1437359,980,short_queries
performance,0.4130915,0.37666476,1.0513046,980,short_queries
I'm a professional looking for a phone that can manage my workflow,0.42229134,0.38155732,1.0364937,980,storytelling_queries
storage,0.3994288,0.36995098,1.0740827,980,short_queries
best games for OnePlus,0.5531049,0.38067234,1.0457873,980,non_product_search
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
Tecno phone with good storage under 30000,0.57755816,0.43197626,0.87975764,980,product_search
I'm a student looking for a phone that can support my workflow,0.42485875,0.38380903,1.0290834,980,storytelling_queries
Realme phone with good gaming under 30000,0.64438874,0.44481722,0.8513763,980,product_search
I'm a gamer looking for a phone that can support my lifestyle,0.45863834,0.40727586,0.95408946,980,storytelling_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
iPhone phone with good 5G under 20000,0.51576626,0.43341208,0.8753761,980,product_search
best games for iPhone,0.44450077,0.38024658,1.0406953,980,non_product_search
Samsung,0.53815854,0.40926713,0.95639914,980,short_queries
Show me a cheap phone now,0.51754725,0.43655065,0.8634114,980,aggressive_queries
how to improve my phone,0.45705324,0.40245292,0.97036386,980,non_product_search
Show me the best phone right away,0.46148473,0.39874908,0.9815231,980,aggressive_queries
phone that can read minds,0.4421646,0.38643423,1.0203637,980,kidding_queries
I'm a student looking for a phone that can support my lifestyle,0.44017932,0.3925642,1.0008211,980,storytelling_queries
Give me a cheap phone immediately,0.49867296,0.4275085,0.89004904,980,aggressive_queries
I'm a professional looking for a phone that can handle my hobbies,0.44944873,0.39527762,0.9923005,980,storytelling_queries
Give me a cheap phone immediately,0.49867296,0.4275085,0.89004904,980,aggressive_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
I'm a gamer looking for a phone that can handle my hobbies,0.45825556,0.4062009,0.95697063,980,storytelling_queries
best themes for Vivo,0.47290424,0.3651232,1.0982863,980,non_product_search
how to improve my phone,0.45705324,0.40245292,0.97036386,980,non_product_search
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
phone that can do homework,0.45169425,0.3882975,1.0149176,980,kidding_queries
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
Nokia,0.5757035,0.4097775,0.9486352,980,long_queries
iPhone phone with good 5G under 15000,0.56938076,0.44491786,0.8423892,980,product_search
Show me a good phone right away,0.46622002,0.3937625,0.99703413,980,aggressive_queries
Huawei phone with good 5G under 10000,0.6295159,0.44071853,0.8537833,980,product_search
I'm a gamer looking for a phone that can handle my workflow,0.45404282,0.40401822,0.9638682,980,storytelling_queries
phone that can read minds,0.4421646,0.38643423,1.0203637,980,kidding_queries
how to clean my phone,0.41618642,0.37111816,1.0721785,980,non_product_search
battery,0.43811852,0.38994712,1.0077554,980,long_queries
phone that can do homework,0.45169425,0.3882975,1.0149176,980,kidding_queries
5G,0.5137026,0.42648897,0.8981475,980,short_queries
best themes for Realme,0.5255811,0.3575886,1.1342763,980,non_product_search
I'm a gamer looking for a phone that can manage my workflow,0.43365112,0.39320898,0.99827665,980,storytelling_queries
best themes for Tecno,0.4830891,0.34618118,1.1611347,980,non_product_search
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
Xiaomi phone with good price above 50000,0.680657,0.47983098,0.7476779,980,product_search
Huawei,0.6012221,0.4013368,0.97543895,980,long_queries
price,0.49581966,0.43206125,0.8751933,980,long_queries
Huawei,0.6012221,0.4013368,0.97543895,980,short_queries
price,0.49581966,0.43206125,0.8751933,980,long_queries
I'm a gamer looking for a phone that can handle my hobbies,0.45825556,0.4062009,0.95697063,980,storytelling_queries
OnePlus,0.5835067,0.37617964,1.0639964,980,short_queries
Oppo phone with good battery under 50000,0.63312507,0.43794444,0.87258863,980,product_search
iPhone,0.5019899,0.39925736,0.98135614,980,short_queries
Xiaomi,0.6009074,0.40738806,0.9711267,980,short_queries
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
how to improve my phone,0.45705324,0.40245292,0.97036386,980,non_product_search
I'm a student looking for a phone that can handle my workflow,0.43434426,0.38867056,1.0136325,980,storytelling_queries
best apps for Samsung,0.5242263,0.4017737,0.9799943,980,non_product_search
best games for Vivo,0.54771626,0.39407787,1.005578,980,non_product_search
Xiaomi phone with good design under 40000,0.5893356,0.44486445,0.847161,980,product_search
Huawei,0.6012221,0.4013368,0.97543895,980,short_queries
Vivo,0.53817797,0.36805353,1.0960454,980,long_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
phone that can do homework,0.45169425,0.3882975,1.0149176,980,kidding_queries
I'm a gamer looking for a phone that can handle my lifestyle,0.46642667,0.41093406,0.94266546,980,storytelling_queries
gaming,0.3973958,0.3501127,1.1437359,980,short_queries
Vivo,0.53817797,0.36805353,1.0960454,980,short_queries
phone that can do homework,0.45169425,0.3882975,1.0149176,980,kidding_queries
performance,0.4130915,0.37666476,1.0513046,980,short_queries
I'm a student looking for a phone that can manage my hobbies,0.43148944,0.3866745,1.0194265,980,storytelling_queries
Show me a cheap phone right away,0.51131845,0.43033466,0.8820037,980,aggressive_queries
Give me a good phone immediately,0.47708905,0.40315613,0.96639305,980,aggressive_queries
Huawei,0.6012221,0.4013368,0.97543895,980,long_queries
Show me a cheap phone immediately,0.5031711,0.4297715,0.88376474,980,aggressive_queries
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
iPhone,0.5019899,0.39925736,0.98135614,980,long_queries
I'm a gamer looking for a phone that can handle my hobbies,0.45825556,0.4062009,0.95697063,980,storytelling_queries
Xiaomi,0.6009074,0.40738806,0.9711267,980,short_queries
Tecno,0.5507886,0.34691405,1.162272,980,short_queries
Tecno,0.5507886,0.34691405,1.162272,980,short_queries
best games for Vivo,0.54771626,0.39407787,1.005578,980,non_product_search
Tecno phone with good design under 30000,0.5863973,0.43478227,0.8713705,980,product_search
Give me a cheap phone immediately,0.49867296,0.4275085,0.89004904,980,aggressive_queries
Vivo,0.53817797,0.36805353,1.0960454,980,long_queries
Oppo,0.60704184,0.36270073,1.1284716,980,long_queries
Huawei,0.6012221,0.4013368,0.97543895,980,short_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
gaming,0.3973958,0.3501127,1.1437359,980,short_queries
Oppo,0.60704184,0.36270073,1.1284716,980,short_queries
I need a good phone right away,0.45286322,0.39493015,0.9924853,980,aggressive_queries
design,0.37667614,0.3516383,1.1374272,980,short_queries
I'm a student looking for a phone that can support my workflow,0.42485875,0.38380903,1.0290834,980,storytelling_queries
Tecno,0.5507886,0.34691405,1.162272,980,long_queries
Give me the best phone immediately,0.49437916,0.41867322,0.9186082,980,aggressive_queries
best games for Oppo,0.5772693,0.374421,1.0788376,980,non_product_search
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
best games for Vivo,0.54771626,0.39407787,1.005578,980,non_product_search
OnePlus,0.5835067,0.37617964,1.0639964,980,short_queries
display,0.3807574,0.3565223,1.1203425,980,long_queries
OnePlus,0.5835067,0.37617964,1.0639964,980,short_queries
Show me a cheap phone right away,0.51131845,0.43033466,0.8820037,980,aggressive_queries
I'm a professional looking for a phone that can manage my workflow,0.42229134,0.38155732,1.0364937,980,storytelling_queries
Oppo,0.60704184,0.36270073,1.1284716,980,short_queries
I'm a student looking for a phone that can manage my hobbies,0.43148944,0.3866745,1.0194265,980,storytelling_queries
Samsung,0.53815854,0.40926713,0.95639914,980,long_queries
I'm a photographer looking for a phone that can support my lifestyle,0.47832105,0.40140432,0.97325647,980,storytelling_queries
I'm a gamer looking for a phone that can handle my hobbies,0.45825556,0.4062009,0.95697063,980,storytelling_queries
I'm a gamer looking for a phone that can handle my hobbies,0.45825556,0.4062009,0.95697063,980,storytelling_queries
Give me a cheap phone now,0.50365335,0.43159494,0.87779987,980,aggressive_queries
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
price,0.49581966,0.43206125,0.8751933,980,short_queries
I'm a professional looking for a phone that can handle my hobbies,0.44944873,0.39527762,0.9923005,980,storytelling_queries
best themes for Realme,0.5255811,0.3575886,1.1342763,980,non_product_search
phone that can do homework,0.45169425,0.3882975,1.0149176,980,kidding_queries
Huawei,0.6012221,0.4013368,0.97543895,980,short_queries
I'm a professional looking for a phone that can support my hobbies,0.44680414,0.39533424,0.9920151,980,storytelling_queries
Realme,0.6366476,0.36946937,1.110698,980,long_queries
Samsung,0.53815854,0.40926713,0.95639914,980,short_queries
Xiaomi phone with good durability under 50000,0.5978157,0.44042978,0.86077726,980,product_search
iPhone,0.5019899,0.39925736,0.98135614,980,long_queries
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
I'm a gamer looking for a phone that can manage my lifestyle,0.4552258,0.40267062,0.9686251,980,storytelling_queries
I'm a student looking for a phone that can manage my workflow,0.42087543,0.38030994,1.0406524,980,storytelling_queries
Samsung phone with good performance above 50000,0.5866503,0.43632346,0.8739799,980,product_search
Show me a good phone now,0.48718926,0.4033999,0.96672434,980,aggressive_queries
I'm a photographer looking for a phone that can support my hobbies,0.47675645,0.39878225,0.9814743,980,storytelling_queries
best themes for Tecno,0.4830891,0.34618118,1.1611347,980,non_product_search
phone hacks,0.40299773,0.36149913,1.1043687,980,non_product_search
I'm a gamer looking for a phone that can manage my lifestyle,0.4552258,0.40267062,0.9686251,980,storytelling_queries
I'm a photographer looking for a phone that can support my lifestyle,0.47832105,0.40140432,0.97325647,980,storytelling_queries
I'm a gamer looking for a phone that can manage my hobbies,0.44492957,0.39860654,0.9809377,980,storytelling_queries
durability,0.36908266,0.3470766,1.1536523,980,long_queries
phone that can read minds,0.4421646,0.38643423,1.0203637,980,kidding_queries
price,0.49581966,0.43206125,0.8751933,980,short_queries
iPhone,0.5019899,0.39925736,0.98135614,980,short_queries
I'm a student looking for a phone that can manage my lifestyle,0.43927348,0.3900219,1.0091753,980,storytelling_queries
OnePlus,0.5835067,0.37617964,1.0639964,980,long_queries
Give me the best phone immediately,0.49437916,0.41867322,0.9186082,980,aggressive_queries
I'm a professional looking for a phone that can handle my workflow,0.4406988,0.39230332,1.0019264,980,storytelling_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
I'm a professional looking for a phone that can manage my lifestyle,0.45028138,0.39269087,1.0007988,980,storytelling_queries
price,0.49581966,0.43206125,0.8751933,980,long_queries
I'm a student looking for a phone that can handle my hobbies,0.44368815,0.3930277,0.9990738,980,storytelling_queries
phone tricks,0.43933317,0.37353218,1.0639371,980,non_product_search
price,0.49581966,0.43206125,0.8751933,980,short_queries
Give me a good phone right away,0.46401048,0.39558032,0.99065214,980,aggressive_queries
I'm a photographer looking for a phone that can manage my workflow,0.45638698,0.3879708,1.016176,980,storytelling_queries
Huawei,0.6012221,0.4013368,0.97543895,980,short_queries
iPhone phone with good gaming under 30000,0.49409556,0.42507625,0.89845425,980,product_search
Samsung,0.53815854,0.40926713,0.95639914,980,short_queries
I'm a student looking for a phone that can handle my workflow,0.43434426,0.38867056,1.0136325,980,storytelling_queries
camera,0.4448519,0.37808222,1.0487708,980,short_queries
gaming,0.3973958,0.3501127,1.1437359,980,long_queries
I need a cheap phone immediately,0.4904048,0.4270189,0.89143527,980,aggressive_queries
Tecno phone with good performance under 15000,0.6000321,0.43914002,0.8583823,980,product_search
Realme,0.6366476,0.36946937,1.110698,980,short_queries
durability,0.36908266,0.3470766,1.1536523,980,long_queries
I'm a student looking for a phone that can manage my workflow,0.42087543,0.38030994,1.0406524,980,storytelling_queries
Realme phone with good storage under 50000,0.61792403,0.43835044,0.87122285,980,product_search
Give me a cheap phone immediately,0.49867296,0.4275085,0.89004904,980,aggressive_queries
I'm a student looking for a phone that can handle my hobbies,0.44368815,0.3930277,0.9990738,980,storytelling_queries
storage,0.3994288,0.36995098,1.0740827,980,long_queries
durability,0.36908266,0.3470766,1.1536523,980,long_queries
battery,0.43811852,0.38994712,1.0077554,980,long_queries
Nokia phone with good 5G under 25000,0.6364424,0.44917354,0.8311299,980,product_search
how to optimize my phone,0.47286722,0.40939716,0.9486312,980,non_product_search
5G,0.5137026,0.42648897,0.8981475,980,long_queries
how to optimize my phone,0.47286722,0.40939716,0.9486312,980,non_product_search
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
I'm a gamer looking for a phone that can support my workflow,0.44590044,0.4000724,0.9763977,980,storytelling_queries
phone that can teleport,0.4181417,0.37256917,1.0663061,980,kidding_queries
Realme phone with good performance above 50000,0.66692364,0.45331797,0.8288013,980,product_search
Tecno phone with good display under 30000,0.57156557,0.44015583,0.854229,980,product_search
performance,0.4130915,0.37666476,1.0513046,980,long_queries
best themes for Nokia,0.48633203,0.38516492,1.0251763,980,non_product_search
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
durability,0.36908266,0.3470766,1.1536523,980,short_queries
Show me the best phone immediately,0.47869954,0.40780592,0.95275635,980,aggressive_queries
Show me a good phone right away,0.46622002,0.3937625,0.99703413,980,aggressive_queries
I'm a gamer looking for a phone that can handle my hobbies,0.45825556,0.4062009,0.95697063,980,storytelling_queries
Xiaomi phone with good design under 30000,0.6172865,0.45146412,0.82881415,980,product_search
I need a cheap phone now,0.49684912,0.42941564,0.8843898,980,aggressive_queries
phone that can cook food,0.40421355,0.36220175,1.1011564,980,kidding_queries
price,0.49581966,0.43206125,0.8751933,980,long_queries
best games for Xiaomi,0.5488819,0.3921843,1.012144,980,non_product_search
phone tips,0.41745898,0.36704645,1.0851486,980,non_product_search
battery,0.43811852,0.38994712,1.0077554,980,short_queries
I'm a photographer looking for a phone that can manage my hobbies,0.46193033,0.39111534,1.0058342,980,storytelling_queries
gaming,0.3973958,0.3501127,1.1437359,980,long_queries
I'm a photographer looking for a phone that can handle my hobbies,0.47411576,0.39750734,0.9856593,980,storytelling_queries
display,0.3807574,0.3565223,1.1203425,980,long_queries
Give me a cheap phone immediately,0.49867296,0.4275085,0.89004904,980,aggressive_queries
phone that can do homework,0.45169425,0.3882975,1.0149176,980,kidding_queries
Nokia,0.5757035,0.4097775,0.9486352,980,short_queries
how to optimize my phone,0.47286722,0.40939716,0.9486312,980,non_product_search
phone that can cook food,0.40421355,0.36220175,1.1011564,980,kidding_queries
display,0.3807574,0.3565223,1.1203425,980,short_queries
phone that can predict future,0.456522,0.39562234,0.99114925,980,kidding_queries
